Season,Date,Home,Away,URL
2023/2024,04-02-2024,Chelsea,Wolverhampton,https://www.xscores.com/soccer/match/chelsea-vs-wolverhampton/04-02-2024/2139646
2023/2024,04-02-2024,Manchester United,WestHam,https://www.xscores.com/soccer/match/manchester-united-vs-west-ham/04-02-2024/2139653
2023/2024,04-02-2024,Arsenal,Liverpool,https://www.xscores.com/soccer/match/arsenal-vs-liverpool/04-02-2024/2139643
2023/2024,05-02-2024,Brentford,Manchester City,https://www.xscores.com/soccer/match/brentford-vs-manchester-city/05-02-2024/2139644
2023/2024,10-02-2024,Manchester City,Everton,https://www.xscores.com/soccer/match/manchester-city-vs-everton/10-02-2024/2139660
2023/2024,10-02-2024,Fulham,Bournemouth,https://www.xscores.com/soccer/match/fulham-vs-bournemouth/10-02-2024/2139648
2023/2024,10-02-2024,Liverpool,Burnley,https://www.xscores.com/soccer/match/liverpool-vs-burnley/10-02-2024/2139647
2023/2024,10-02-2024,Luton,Sheffield United,https://www.xscores.com/soccer/match/luton-vs-sheffield-united/10-02-2024/2139661
2023/2024,10-02-2024,Tottenham,Brighton,https://www.xscores.com/soccer/match/tottenham-vs-brighton/10-02-2024/2139659
2023/2024,10-02-2024,Wolverhampton,Brentford,https://www.xscores.com/soccer/match/wolverhampton-vs-brentford/10-02-2024/2139657
2023/2024,10-02-2024,Nottingham Forest,Newcastle,https://www.xscores.com/soccer/match/nottingham-forest-vs-newcastle/10-02-2024/2139662
2023/2024,11-02-2024,WestHam,Arsenal,https://www.xscores.com/soccer/match/west-ham-vs-arsenal/11-02-2024/2139658
2023/2024,11-02-2024,Aston Villa,Manchester United,https://www.xscores.com/soccer/match/aston-villa-vs-manchester-united/11-02-2024/2139650
2023/2024,12-02-2024,Crystal Palace,Chelsea,https://www.xscores.com/soccer/match/crystal-palace-vs-chelsea/12-02-2024/2139649
