season,date,home_team,away_team,url
1996/1997,1996-12-07T00:00:00,Sunderland,AFC Wimbledon,https://www.xscores.com/soccer/match/sunderland-vs-afc-wimbledon/07-12-1996/1596903
1996/1997,1996-12-08T00:00:00,West Ham,Manchester United,https://www.xscores.com/soccer/match/west-ham-vs-manchester-united/08-12-1996/1596904
1996/1997,1996-12-09T00:00:00,Nottingham Forest,Newcastle,https://www.xscores.com/soccer/match/nottingham-forest-vs-newcastle/09-12-1996/1596905
1996/1997,1996-12-14T00:00:00,AFC Wimbledon,Blackburn,https://www.xscores.com/soccer/match/afc-wimbledon-vs-blackburn/14-12-1996/1596909
1996/1997,1996-12-14T00:00:00,Derby,Everton,https://www.xscores.com/soccer/match/derby-vs-everton/14-12-1996/1596906
1996/1997,1996-12-14T00:00:00,Leeds,Tottenham,https://www.xscores.com/soccer/match/leeds-vs-tottenham/14-12-1996/1596907
1996/1997,1996-12-14T00:00:00,Liverpool,Middlesbrough,https://www.xscores.com/soccer/match/liverpool-vs-middlesbrough/14-12-1996/1596908
1996/1997,1996-12-15T00:00:00,Sunderland,Chelsea,https://www.xscores.com/soccer/match/sunderland-vs-chelsea/15-12-1996/1596910
1996/1997,1996-12-17T00:00:00,Coventry,Newcastle,https://www.xscores.com/soccer/match/coventry-vs-newcastle/17-12-1996/1596911
1996/1997,1996-12-17T00:00:00,Liverpool,Nottingham Forest,https://www.xscores.com/soccer/match/liverpool-vs-nottingham-forest/17-12-1996/1596912
1996/1997,1996-12-18T00:00:00,Sheffield Wednesday,Manchester United,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-manchester-united/18-12-1996/1596913
1996/1997,1996-12-21T00:00:00,Chelsea,West Ham,https://www.xscores.com/soccer/match/chelsea-vs-west-ham/21-12-1996/1596914
1996/1997,1996-12-21T00:00:00,Everton,Leeds,https://www.xscores.com/soccer/match/everton-vs-leeds/21-12-1996/1596915
1996/1997,1996-12-21T00:00:00,Leicester,Coventry,https://www.xscores.com/soccer/match/leicester-vs-coventry/21-12-1996/1596916
1996/1997,1996-12-21T00:00:00,Manchester United,Sunderland,https://www.xscores.com/soccer/match/manchester-united-vs-sunderland/21-12-1996/1596917
1996/1997,1996-12-21T00:00:00,Nottingham Forest,Arsenal,https://www.xscores.com/soccer/match/nottingham-forest-vs-arsenal/21-12-1996/1596918
1996/1997,1996-12-21T00:00:00,Southampton,Derby,https://www.xscores.com/soccer/match/southampton-vs-derby/21-12-1996/1596919
1996/1997,1996-12-21T00:00:00,Tottenham,Sheffield Wednesday,https://www.xscores.com/soccer/match/tottenham-vs-sheffield-wednesday/21-12-1996/1596920
1996/1997,1996-12-22T00:00:00,Aston Villa,AFC Wimbledon,https://www.xscores.com/soccer/match/aston-villa-vs-afc-wimbledon/22-12-1996/1596921
1996/1997,1996-12-23T00:00:00,Newcastle,Liverpool,https://www.xscores.com/soccer/match/newcastle-vs-liverpool/23-12-1996/1596922
1996/1997,1996-12-26T00:00:00,Aston Villa,Chelsea,https://www.xscores.com/soccer/match/aston-villa-vs-chelsea/26-12-1996/1596923
1996/1997,1996-12-26T00:00:00,Blackburn,Newcastle,https://www.xscores.com/soccer/match/blackburn-vs-newcastle/26-12-1996/1596924
1996/1997,1996-12-26T00:00:00,Leeds,Coventry,https://www.xscores.com/soccer/match/leeds-vs-coventry/26-12-1996/1596925
1996/1997,1996-12-26T00:00:00,Liverpool,Leicester,https://www.xscores.com/soccer/match/liverpool-vs-leicester/26-12-1996/1596926
1996/1997,1996-12-26T00:00:00,Middlesbrough,Everton,https://www.xscores.com/soccer/match/middlesbrough-vs-everton/26-12-1996/1596927
1996/1997,1996-12-26T00:00:00,Nottingham Forest,Manchester United,https://www.xscores.com/soccer/match/nottingham-forest-vs-manchester-united/26-12-1996/1596928
1996/1997,1996-12-26T00:00:00,Sheffield Wednesday,Arsenal,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-arsenal/26-12-1996/1596929
1996/1997,1996-12-26T00:00:00,Sunderland,Derby,https://www.xscores.com/soccer/match/sunderland-vs-derby/26-12-1996/1596930
1996/1997,1996-12-26T00:00:00,Tottenham,Southampton,https://www.xscores.com/soccer/match/tottenham-vs-southampton/26-12-1996/1596931
1996/1997,1996-12-28T00:00:00,Arsenal,Aston Villa,https://www.xscores.com/soccer/match/arsenal-vs-aston-villa/28-12-1996/1596932
1996/1997,1996-12-28T00:00:00,Chelsea,Sheffield Wednesday,https://www.xscores.com/soccer/match/chelsea-vs-sheffield-wednesday/28-12-1996/1596933
